fname|hd_leaves|hd_pages|hd_type|hd_script|div_rend|div_rendition|div_type
d19280828_kantorowicz_stein.xml|1 Bl.|1 S.|lt|ts|tg|1 Bl., 1 S.|ts
d19281004_kantorowicz_becker.xml|2 Bl.|2 S.|lt|ms|ms;2 Bl., 2 S.||lt
d19281123_kantorowicz_gundolf.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
d19281123_kantorowicz_stein.xml|1 Bl.|2 S.|lt|ms|lt|1 Bl., 2 S.|ms
d19290106_kantorowicz_becker.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19290123_kantorowicz_stein.xml|1 Bl.|1 S.|lt|ms|lt|1 Bl., 1 S.|ms
d19290429_kantorowicz_george.xml|3 Bl.|3 S.|lt|ms|ms;3 Bl., 3 S.||lt
d19290708_kantorowicz_george.xml|2 Bl.|3 S.|lt|ms|ms;2 Bl., 3 S.||lt
d19290817_kantorowicz_george.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19291025_kantorowicz_plenge.xml|2 Bl.|2 S.|lt|ts|ts|2 Bl., 2 S.|lt
d19291113_kantorowicz_hzimmer.xml|2 Bl.|3 S.|lt|ms|ms;2 Bl., 3 S.||lt
d19300102_kantorowicz_hampe.xml|2 Bl.|4 S.|lt|ms|ms;2 Bl., 4 S.||lt
d19300106_kantorowicz_george.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19300203_kantorowicz_plenge.xml|2 Bl.|2 S.|lt|ts|ts|2 Bl., 2 S.|lt
d19300309_kantorowicz_george.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19300405_kantorowicz_weniger.xml|2 Bl.|2 S.|lt|ms|ms;2 Bl., 2 S.||lt
d19300623_kantorowicz_george.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19300709_kantorowicz_george.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
d19300710_kantorowicz_george.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
d19300716_kantorowicz_george.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19300727_kantorowicz_george.xml|2 Bl.|2 S.|lt|ms|ms;2 Bl., 2 S.||lt
d19300822_kantorowicz_glum.xml|2 Bl.|2 S.|lt|ms|ms; 2 Bl., 2 S.||lt
d19300822_kantorowicz_hampe.xml|1 Bl.|2 S.|pc|ms|ms;1 Bl., 2 S.||pc
d19300823_kantorowicz_jantzen.xml|2 Bl.|2 S.|lt|ts|ts;2 Bl., 2 S.||lt
d19310215_kantorowicz_george.xml|2 Bl.|4 S.|lt|ms|ms;2 Bl., 4 S.||lt
d19310218_kantorowicz_george.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19310306_kantorowicz_hampe.xml|1 Bl.|2 S.|pc|ms|ms;1 Bl., 2 S.||pc
d19310310_kantorowicz_erdmann.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d19310328_kantorowicz_erdmann.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19310418_kantorowicz_salin.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||pc
d19310505_kantorowicz_salin.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||pc
d19310627_kantorowicz_lorimer.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d19310708_kantorowicz_george.xml|2 Bl.|2 S.|lt|ms|ms;2 Bl., 2 S.||lt
d19310905_kantorowicz_weniger.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d19310907_kantorowicz_otto.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
d19311014_kantorowicz_stein.xml|1 Bl.|2 S.|lt|ms|lt|1 Bl., 2 S.|ms
d19311024_kantorowicz_lorimer.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d19311121_kantorowicz_lorimer.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19311202_kantorowicz_george.xml|4 Bl.|4 S.|lt|ms|ms;4 Bl., 4 S.||lt
d19311209_kantorowicz_curtius.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d19311229_kantorowicz_george.xml|3 Bl.|3 S.|lt|ms|ms;3 Bl., 3 S.||lt
d19320212_kantorowicz_salin.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19320224_kantorowicz_stein.xml|1 Bl.|2 S.|lt|ms|pc|1 Bl., 2 S.|ms
d19320319_kantorowicz_curtius.xml|3 Bl.|6 S.|lt|ts|ts;3 Bl., 6 S.||lt
d19320522_kantorowicz_george.xml|3 Bl.|5 S.|lt|ms|ms;3 Bl., 5 S.||lt
d19320523_kantorowicz_hampe.xml|2 Bl.|4 S.|lt|ms|ms;2 Bl., 4 S.||lt
d19320523_kantorowicz_kuttner.xml|1 Bl.|2 S.|pc|ms|ms;1 Bl., 2 S.||pc
d19320903_kantorowicz_stein.xml|1 Bl.|1 S.|lt|ms|pc|1 Bl., 1 S.|ms
d19320925_kantorowicz_schramm.xml|2 Bl.|3 S.|lt|ts|ts;2 Bl., 3 S.||lt
d19321103_kantorowicz_george.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
d19321130_kantorowicz_salin.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d19330328_kantorowicz_salin.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19330403_kantorowicz_staatskommissar.xml|2 Bl.|2 S.|lt|ts|ts|2 Bl., 2 S.|lt
d19330416_kantorowicz_hampe.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d19330603_kantorowicz_salin.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||pc
d19330605_kantorowicz_george.xml|3 Bl.|5 S.|lt|ms|ms;3 Bl., 5 S.||lt
d19330617_kantorowicz_bertram.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d19330710_kantorowicz_george.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
d19330723_kantorowicz_salin.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19331005_kantorowicz_salin.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19331116_kantorowicz_salin.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d19331123_kantorowicz_salin.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19331126_kantorowicz_george.xml|x Bl.|7 S.|lt|ms|ms;x Bl., 7 S.||lt
d19331203_kantorowicz_burdach.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19331204_kantorowicz_boehringer.xml|1 Bl.|1 S.|tg|ts|ts;1 Bl., 1 S.||tg
